"pvar","yearmat","sqid","mm","T98","ID"
0.12,"2004","843",0.591666666666667,0.06,1
0.116666666666667,"2004","843",0.591666666666667,0.1,2
0.173333333333333,"2004","843",0.591666666666667,0.04,3
0.315,"2004","843",0.725,0.02,4
NA,"2004","843",NA,0.06,5
0.103333333333333,"2004","843",0.591666666666667,0,6
0.09,"2004","843",0.591666666666667,0,7
0.18,"2004","843",0.591666666666667,0.08,8
0.335,"2004","843",0.725,0,9
0.58,"2004","843",0.925,0,10
0.2,"2004","843",0.591666666666667,0,11
0.18,"2004","843",0.591666666666667,0,12
0.27,"2004","843",0.591666666666667,0,13
0.41,"2004","843",0.425,0,14
0.54,"2004","843",0.591666666666667,0,15
0.185,"2004","843",0.425,0,16
0.195,"2004","843",0.425,0,17
0.285,"2004","843",0.425,0,18
0.36,"2004","843",0.425,0,19
0.48,"2004","843",0.591666666666667,0,20
0.21,"2004","843",0.425,0,21
0.205,"2004","843",0.425,0,22
0.315,"2004","843",0.425,0,23
0.44,"2004","843",0.425,0,24
0.33,"2004","843",0.425,0,25
0.04,"2004","972",0.625,0,26
0.02,"2004","972",0.625,0,27
0.03,"2004","972",0.625,0,28
0.06,"2004","972",0.625,0.12,29
0.0766666666666667,"2004","972",0.791666666666667,0.06,30
0.06,"2004","972",0.625,0.04,31
0.015,"2004","972",0.625,0,32
0.0166666666666667,"2004","972",0.791666666666667,0,33
0.04,"2004","972",0.625,0.06,34
0.06,"2004","972",0.791666666666667,0,35
0.0366666666666667,"2004","972",0.791666666666667,0,36
0.0125,"2004","972",0.725,0,37
0.0333333333333333,"2004","972",0.791666666666667,0,38
0.06,"2004","972",0.625,0,39
0.08,"2004","972",0.625,0,40
0.0333333333333333,"2004","972",0.791666666666667,0,41
0.0233333333333333,"2004","972",0.791666666666667,0,42
0.03,"2004","972",0.791666666666667,0,43
0.045,"2004","972",0.625,0,44
0.0966666666666667,"2004","972",0.791666666666667,0,45
0.0766666666666667,"2004","972",0.791666666666667,0,46
0.0333333333333333,"2004","972",0.791666666666667,0,47
0.0266666666666667,"2004","972",0.791666666666667,0,48
0.04,"2004","972",0.791666666666667,0,49
0.186666666666667,"2004","972",0.791666666666667,0,50
0.0533333333333333,"2004","1548",0.791666666666667,0.02,51
0.0566666666666667,"2004","1548",0.791666666666667,0.02,52
0.0733333333333333,"2004","1548",0.791666666666667,0,53
0.123333333333333,"2004","1548",0.791666666666667,0,54
0.593333333333333,"2004","1548",0.791666666666667,0,55
0.143333333333333,"2004","1548",0.791666666666667,0.02,56
0.146666666666667,"2004","1548",0.791666666666667,0,57
0.126666666666667,"2004","1548",0.791666666666667,0.08,58
0.11,"2004","1548",0.791666666666667,0,59
0.446666666666667,"2004","1548",0.791666666666667,0.2,60
0.12,"2004","1490",1.125,0,61
0.16,"2004","1490",1.025,0,62
0.19,"2004","1490",1.025,0.04,63
0.283333333333333,"2004","1490",0.791666666666667,0,64
0.57,"2004","1548",0.791666666666667,0,65
0.175,"2004","1548",1.025,0,66
0.23,"2004","1548",0.791666666666667,0,67
0.13,"2004","1548",1.025,0,68
0.35,"2004","1548",0.791666666666667,0,69
0.653333333333333,"2004","1490",0.791666666666667,0,70
0.42,"2004","1490",0.791666666666667,0,71
0.28,"2004","1490",0.791666666666667,0,72
0.155,"2004","1490",1.025,0,73
0.17,"2004","1548",1.025,0,74
0.436666666666667,"2004","1548",0.791666666666667,0,75
0.0966666666666667,"2004","1548",0.858333333333333,0,76
0.0766666666666667,"2004","1548",0.858333333333333,0,77
0.0333333333333333,"2004","1548",0.858333333333333,0.04,78
0.0533333333333333,"2004","1490",0.858333333333333,0.02,79
0.0266666666666667,"2004","1490",0.858333333333333,0,80
0.07,"2004","1490",0.858333333333333,0.06,81
0.07,"2004","1490",0.858333333333333,0,82
